Y1_STATEFIPS,Y1_COUNTYFIPS,Y2_STATEFIPS,Y2_COUNTYFIPS,Y2_STATE,Y2_COUNTYNAME,N1,N2,AGI,n_returns,n_individuals,agi_thousands,origin_fips5,dest_fips5,mean_agi
36,063,12,103,FL,Pinellas County,29,43,1781,29,43,1781,36063,12103,61413.793103448275
36,063,12,071,FL,Lee County,25,45,3034,25,45,3034,36063,12071,121360.0
36,063,12,115,FL,Sarasota County,23,37,3453,23,37,3453,36063,12115,150130.4347826087
36,065,12,103,FL,Pinellas County,33,46,2906,33,46,2906,36065,12103,88060.60606060606
36,065,12,127,FL,Volusia County,28,52,1561,28,52,1561,36065,12127,55750.0
36,065,12,057,FL,Hillsborough County,27,40,1005,27,40,1005,36065,12057,37222.22222222222
36,065,12,031,FL,Duval County,25,47,1220,25,47,1220,36065,12031,48800.0
36,065,12,009,FL,Brevard County,21,34,1103,21,34,1103,36065,12009,52523.80952380953
36,065,12,011,FL,Broward County,21,30,2240,21,30,2240,36065,12011,106666.66666666667
36,067,12,057,FL,Hillsborough County,118,202,10899,118,202,10899,36067,12057,92364.40677966102
36,067,12,071,FL,Lee County,66,115,7446,66,115,7446,36067,12071,112818.18181818182
36,067,12,103,FL,Pinellas County,59,92,6331,59,92,6331,36067,12103,107305.08474576271
36,067,12,009,FL,Brevard County,55,85,4348,55,85,4348,36067,12009,79054.54545454546
36,067,12,115,FL,Sarasota County,55,96,12999,55,96,12999,36067,12115,236345.45454545456
36,067,12,127,FL,Volusia County,51,90,6076,51,90,6076,36067,12127,119137.25490196078
36,067,12,095,FL,Orange County,49,81,3405,49,81,3405,36067,12095,69489.79591836735
36,067,12,086,FL,Miami-Dade County,48,66,3092,48,66,3092,36067,12086,64416.666666666664
36,067,12,099,FL,Palm Beach County,48,76,14947,48,76,14947,36067,12099,311395.8333333333
36,067,12,105,FL,Polk County,47,96,3801,47,96,3801,36067,12105,80872.34042553192
36,067,12,021,FL,Collier County,43,67,13213,43,67,13213,36067,12021,307279.06976744183
36,067,12,011,FL,Broward County,38,66,3788,38,66,3788,36067,12011,99684.21052631579
36,067,12,031,FL,Duval County,33,66,1979,33,66,1979,36067,12031,59969.69696969697
36,067,12,083,FL,Marion County,30,51,1715,30,51,1715,36067,12083,57166.666666666664
36,067,12,101,FL,Pasco County,29,55,2248,29,55,2248,36067,12101,77517.24137931035
36,067,12,111,FL,St. Lucie County,24,37,3197,24,37,3197,36067,12111,133208.33333333334
36,067,12,081,FL,Manatee County,23,44,2461,23,44,2461,36067,12081,107000.0
36,067,12,069,FL,Lake County,21,38,1887,21,38,1887,36067,12069,89857.14285714286
36,067,12,015,FL,Charlotte County,20,31,1942,20,31,1942,36067,12015,97100.0
36,071,12,099,FL,Palm Beach County,116,180,12924,116,180,12924,36071,12099,111413.79310344828
36,071,12,057,FL,Hillsborough County,81,154,6292,81,154,6292,36071,12057,77679.01234567902
36,071,12,011,FL,Broward County,73,105,7954,73,105,7954,36071,12011,108958.90410958904
36,071,12,101,FL,Pasco County,60,120,4692,60,120,4692,36071,12101,78200.0
36,071,12,111,FL,St. Lucie County,60,100,6518,60,100,6518,36071,12111,108633.33333333333
36,071,12,105,FL,Polk County,59,120,4775,59,120,4775,36071,12105,80932.20338983051
36,071,12,095,FL,Orange County,58,100,4050,58,100,4050,36071,12095,69827.58620689655
36,071,12,071,FL,Lee County,50,90,6212,50,90,6212,36071,12071,124240.0
36,071,12,115,FL,Sarasota County,49,100,5817,49,100,5817,36071,12115,118714.28571428571
36,071,12,009,FL,Brevard County,47,81,3303,47,81,3303,36071,12009,70276.59574468085
36,071,12,103,FL,Pinellas County,46,64,3259,46,64,3259,36071,12103,70847.82608695653
36,071,12,127,FL,Volusia County,43,70,3057,43,70,3057,36071,12127,71093.02325581395
36,071,12,086,FL,Miami-Dade County,39,58,2531,39,58,2531,36071,12086,64897.4358974359
36,071,12,097,FL,Osceola County,38,70,2129,38,70,2129,36071,12097,56026.31578947369
36,071,12,081,FL,Manatee County,34,64,3867,34,64,3867,36071,12081,113735.29411764706
36,071,12,021,FL,Collier County,32,56,9016,32,56,9016,36071,12021,281750.0
36,071,12,109,FL,St. Johns County,31,68,3614,31,68,3614,36071,12109,116580.64516129032
36,071,12,069,FL,Lake County,30,49,1650,30,49,1650,36071,12069,55000.0
36,071,12,117,FL,Seminole County,28,64,1333,28,64,1333,36071,12117,47607.142857142855
36,071,12,015,FL,Charlotte County,25,45,2376,25,45,2376,36071,12015,95040.0
36,071,12,083,FL,Marion County,24,43,1691,24,43,1691,36071,12083,70458.33333333333
36,071,12,035,FL,Flagler County,23,53,2738,23,53,2738,36071,12035,119043.47826086957
36,071,12,031,FL,Duval County,21,33,909,21,33,909,36071,12031,43285.71428571428
36,071,12,061,FL,Indian River County,21,36,1580,21,36,1580,36071,12061,75238.09523809524
36,071,12,119,FL,Sumter County,21,38,2816,21,38,2816,36071,12119,134095.2380952381
36,071,12,053,FL,Hernando County,20,39,1174,20,39,1174,36071,12053,58700.0
36,079,12,099,FL,Palm Beach County,39,85,5914,39,85,5914,36079,12099,151641.02564102566
36,079,12,011,FL,Broward County,25,41,1549,25,41,1549,36079,12011,61960.0
36,081,12,011,FL,Broward County,878,1453,57486,878,1453,57486,36081,12011,65473.80410022779
36,081,12,086,FL,Miami-Dade County,826,1243,73611,826,1243,73611,36081,12086,89117.43341404358
36,081,12,099,FL,Palm Beach County,719,1254,76081,719,1254,76081,36081,12099,105815.02086230877
36,081,12,095,FL,Orange County,682,1265,40057,682,1265,40057,36081,12095,58734.604105571845
36,081,12,057,FL,Hillsborough County,410,730,35611,410,730,35611,36081,12057,86856.09756097561
36,081,12,097,FL,Osceola County,389,748,22198,389,748,22198,36081,12097,57064.26735218509
36,081,12,105,FL,Polk County,285,524,15992,285,524,15992,36081,12105,56112.28070175439
36,081,12,103,FL,Pinellas County,175,273,14240,175,273,14240,36081,12103,81371.42857142857
36,081,12,117,FL,Seminole County,166,292,9202,166,292,9202,36081,12117,55433.73493975904
36,081,12,031,FL,Duval County,159,282,8426,159,282,8426,36081,12031,52993.7106918239
36,081,12,071,FL,Lee County,158,286,13140,158,286,13140,36081,12071,83164.55696202532
36,081,12,101,FL,Pasco County,157,332,15390,157,332,15390,36081,12101,98025.47770700637
36,081,12,069,FL,Lake County,149,281,12341,149,281,12341,36081,12069,82825.5033557047
36,081,12,111,FL,St. Lucie County,133,228,10702,133,228,10702,36081,12111,80466.16541353383
36,081,12,021,FL,Collier County,114,203,13738,114,203,13738,36081,12021,120508.77192982456
36,081,12,009,FL,Brevard County,108,192,8881,108,192,8881,36081,12009,82231.48148148147
36,081,12,083,FL,Marion County,104,190,7792,104,190,7792,36081,12083,74923.07692307692
36,081,12,115,FL,Sarasota County,100,172,11084,100,172,11084,36081,12115,110840.0
36,081,12,127,FL,Volusia County,82,153,4236,82,153,4236,36081,12127,51658.53658536585
36,081,12,081,FL,Manatee County,70,110,6475,70,110,6475,36081,12081,92500.0
36,081,12,109,FL,St. Johns County,53,123,5877,53,123,5877,36081,12109,110886.7924528302
36,081,12,053,FL,Hernando County,34,53,2334,34,53,2334,36081,12053,68647.05882352941
36,081,12,035,FL,Flagler County,30,58,1865,30,58,1865,36081,12035,62166.666666666664
36,081,12,085,FL,Martin County,27,39,2945,27,39,2945,36081,12085,109074.07407407407
36,081,12,019,FL,Clay County,26,46,1762,26,46,1762,36081,12019,67769.23076923077
36,081,12,119,FL,Sumter County,25,32,4255,25,32,4255,36081,12119,170200.0
36,081,12,001,FL,Alachua County,24,42,2217,24,42,2217,36081,12001,92375.0
36,083,12,127,FL,Volusia County,24,37,1695,24,37,1695,36083,12127,70625.0
36,083,12,103,FL,Pinellas County,21,31,1606,21,31,1606,36083,12103,76476.19047619047
36,085,12,099,FL,Palm Beach County,216,369,28865,216,369,28865,36085,12099,133634.25925925927
36,085,12,011,FL,Broward County,163,271,17156,163,271,17156,36085,12011,105251.53374233129
36,085,12,057,FL,Hillsborough County,101,178,7634,101,178,7634,36085,12057,75584.15841584158
36,085,12,095,FL,Orange County,95,190,7643,95,190,7643,36085,12095,80452.63157894737
36,085,12,086,FL,Miami-Dade County,92,140,9310,92,140,9310,36085,12086,101195.65217391304
36,085,12,101,FL,Pasco County,65,136,4955,65,136,4955,36085,12101,76230.76923076923
36,085,12,071,FL,Lee County,64,108,7001,64,108,7001,36085,12071,109390.625
36,085,12,111,FL,St. Lucie County,61,113,5812,61,113,5812,36085,12111,95278.68852459016
36,085,12,115,FL,Sarasota County,60,113,5746,60,113,5746,36085,12115,95766.66666666667
36,085,12,105,FL,Polk County,57,113,3925,57,113,3925,36085,12105,68859.64912280702
36,085,12,081,FL,Manatee County,55,117,6591,55,117,6591,36085,12081,119836.36363636363
36,085,12,021,FL,Collier County,54,109,9466,54,109,9466,36085,12021,175296.2962962963
36,085,12,103,FL,Pinellas County,47,69,3622,47,69,3622,36085,12103,77063.82978723405
36,085,12,097,FL,Osceola County,43,84,2458,43,84,2458,36085,12097,57162.79069767442
36,085,12,109,FL,St. Johns County,38,108,4447,38,108,4447,36085,12109,117026.31578947368
36,085,12,053,FL,Hernando County,32,49,1765,32,49,1765,36085,12053,55156.25
36,085,12,127,FL,Volusia County,31,45,2163,31,45,2163,36085,12127,69774.19354838709
36,085,12,117,FL,Seminole County,29,49,2020,29,49,2020,36085,12117,69655.1724137931
36,085,12,069,FL,Lake County,26,61,2114,26,61,2114,36085,12069,81307.69230769231
36,085,12,031,FL,Duval County,23,42,1546,23,42,1546,36085,12031,67217.39130434782
36,085,12,035,FL,Flagler County,20,40,2017,20,40,2017,36085,12035,100850.0
36,087,12,099,FL,Palm Beach County,190,347,49162,190,347,49162,36087,12099,258747.36842105264
36,087,12,011,FL,Broward County,96,181,10661,96,181,10661,36087,12011,111052.08333333333
36,087,12,086,FL,Miami-Dade County,55,85,7638,55,85,7638,36087,12086,138872.72727272726
36,087,12,095,FL,Orange County,53,98,4165,53,98,4165,36087,12095,78584.90566037736
36,087,12,057,FL,Hillsborough County,50,91,5412,50,91,5412,36087,12057,108240.0
36,087,12,071,FL,Lee County,38,52,4334,38,52,4334,36087,12071,114052.63157894737
36,087,12,115,FL,Sarasota County,38,64,6613,38,64,6613,36087,12115,174026.31578947368
36,087,12,103,FL,Pinellas County,32,53,4171,32,53,4171,36087,12103,130343.75
36,087,12,101,FL,Pasco County,30,64,3170,30,64,3170,36087,12101,105666.66666666667
36,087,12,097,FL,Osceola County,29,49,1382,29,49,1382,36087,12097,47655.1724137931
36,087,12,111,FL,St. Lucie County,27,57,2583,27,57,2583,36087,12111,95666.66666666667
36,087,12,127,FL,Volusia County,26,41,2018,26,41,2018,36087,12127,77615.38461538461
36,087,12,105,FL,Polk County,25,50,2107,25,50,2107,36087,12105,84280.0
36,087,12,109,FL,St. Johns County,20,47,3062,20,47,3062,36087,12109,153100.0
36,091,12,071,FL,Lee County,47,83,10244,47,83,10244,36091,12071,217957.44680851063
36,091,12,103,FL,Pinellas County,41,66,5496,41,66,5496,36091,12103,134048.78048780488
36,091,12,099,FL,Palm Beach County,40,70,20568,40,70,20568,36091,12099,514200.0
36,091,12,057,FL,Hillsborough County,35,53,3430,35,53,3430,36091,12057,98000.0
36,091,12,115,FL,Sarasota County,35,66,4734,35,66,4734,36091,12115,135257.14285714287
36,091,12,095,FL,Orange County,26,42,1662,26,42,1662,36091,12095,63923.07692307692
36,091,12,127,FL,Volusia County,26,42,1687,26,42,1687,36091,12127,64884.61538461538
36,091,12,011,FL,Broward County,25,44,2179,25,44,2179,36091,12011,87160.0
36,091,12,083,FL,Marion County,24,43,1287,24,43,1287,36091,12083,53625.0
36,091,12,031,FL,Duval County,23,37,2011,23,37,2011,36091,12031,87434.78260869565
36,091,12,009,FL,Brevard County,22,40,3464,22,40,3464,36091,12009,157454.54545454544
36,091,12,109,FL,St. Johns County,21,43,3694,21,43,3694,36091,12109,175904.7619047619
36,093,12,095,FL,Orange County,26,55,4849,26,55,4849,36093,12095,186500.0
36,093,12,103,FL,Pinellas County,25,38,1425,25,38,1425,36093,12103,57000.0
36,093,12,071,FL,Lee County,23,32,2357,23,32,2357,36093,12071,102478.26086956522
36,093,12,127,FL,Volusia County,20,38,1284,20,38,1284,36093,12127,64200.0
36,103,12,099,FL,Palm Beach County,922,1513,310492,922,1513,310492,36103,12099,336759.2190889371
36,103,12,011,FL,Broward County,396,605,44673,396,605,44673,36103,12011,112810.60606060606
36,103,12,057,FL,Hillsborough County,305,498,23112,305,498,23112,36103,12057,75777.04918032787
36,103,12,086,FL,Miami-Dade County,275,429,102842,275,429,102842,36103,12086,373970.9090909091
36,103,12,071,FL,Lee County,263,473,39576,263,473,39576,36103,12071,150479.0874524715
36,103,12,095,FL,Orange County,250,461,20808,250,461,20808,36103,12095,83232.0
36,103,12,111,FL,St. Lucie County,244,417,26877,244,417,26877,36103,12111,110151.6393442623
36,103,12,103,FL,Pinellas County,232,347,22491,232,347,22491,36103,12103,96943.96551724138
36,103,12,101,FL,Pasco County,214,397,17024,214,397,17024,36103,12101,79551.40186915887
36,103,12,115,FL,Sarasota County,198,362,32915,198,362,32915,36103,12115,166237.37373737374
36,103,12,009,FL,Brevard County,195,316,16521,195,316,16521,36103,12009,84723.07692307692
36,103,12,021,FL,Collier County,182,346,64621,182,346,64621,36103,12021,355060.43956043955
36,103,12,081,FL,Manatee County,182,328,18706,182,328,18706,36103,12081,102780.21978021978
36,103,12,127,FL,Volusia County,181,275,14117,181,275,14117,36103,12127,77994.47513812155
36,103,12,109,FL,St. Johns County,152,361,21346,152,361,21346,36103,12109,140434.2105263158
36,103,12,097,FL,Osceola County,141,263,10262,141,263,10262,36103,12097,72780.14184397164
36,103,12,105,FL,Polk County,139,241,8902,139,241,8902,36103,12105,64043.1654676259
36,103,12,085,FL,Martin County,123,210,18179,123,210,18179,36103,12085,147796.74796747966
36,103,12,061,FL,Indian River County,118,210,17717,118,210,17717,36103,12061,150144.06779661018
36,103,12,083,FL,Marion County,116,223,9136,116,223,9136,36103,12083,78758.62068965517
36,103,12,035,FL,Flagler County,112,194,8038,112,194,8038,36103,12035,71767.85714285714
36,103,12,053,FL,Hernando County,112,184,8334,112,184,8334,36103,12053,74410.71428571429
36,103,12,069,FL,Lake County,112,210,9632,112,210,9632,36103,12069,86000.0
36,103,12,031,FL,Duval County,111,168,6236,111,168,6236,36103,12031,56180.18018018018
36,103,12,117,FL,Seminole County,100,179,6898,100,179,6898,36103,12117,68980.0
36,103,12,119,FL,Sumter County,99,156,14103,99,156,14103,36103,12119,142454.54545454544
36,103,12,015,FL,Charlotte County,80,128,7707,80,128,7707,36103,12015,96337.5
36,103,12,017,FL,Citrus County,41,70,4145,41,70,4145,36103,12017,101097.56097560975
36,103,12,019,FL,Clay County,36,67,2534,36,67,2534,36103,12019,70388.88888888889
36,105,12,099,FL,Palm Beach County,25,36,2124,25,36,2124,36105,12099,84960.0
36,111,12,099,FL,Palm Beach County,44,63,3899,44,63,3899,36111,12099,88613.63636363637
36,111,12,103,FL,Pinellas County,27,35,2967,27,35,2967,36111,12103,109888.88888888889
36,111,12,057,FL,Hillsborough County,26,38,1963,26,38,1963,36111,12057,75500.0
36,111,12,011,FL,Broward County,25,36,1469,25,36,1469,36111,12011,58760.0
36,111,12,071,FL,Lee County,22,40,1985,22,40,1985,36111,12071,90227.27272727272
36,111,12,127,FL,Volusia County,20,31,1153,20,31,1153,36111,12127,57650.0
36,119,12,099,FL,Palm Beach County,515,885,270314,515,885,270314,36119,12099,524881.5533980583
36,119,12,011,FL,Broward County,290,497,54791,290,497,54791,36119,12011,188934.4827586207
36,119,12,086,FL,Miami-Dade County,239,380,119080,239,380,119080,36119,12086,498242.67782426777
36,119,12,095,FL,Orange County,181,334,18383,181,334,18383,36119,12095,101563.53591160222
36,119,12,057,FL,Hillsborough County,158,278,17728,158,278,17728,36119,12057,112202.53164556962
36,119,12,105,FL,Polk County,112,202,7702,112,202,7702,36119,12105,68767.85714285714
36,119,12,097,FL,Osceola County,92,161,4005,92,161,4005,36119,12097,43532.608695652176
36,119,12,021,FL,Collier County,88,163,26981,88,163,26981,36119,12021,306602.2727272727
36,119,12,115,FL,Sarasota County,85,164,17030,85,164,17030,36119,12115,200352.9411764706
36,119,12,071,FL,Lee County,80,138,22930,80,138,22930,36119,12071,286625.0
36,119,12,103,FL,Pinellas County,78,132,11208,78,132,11208,36119,12103,143692.3076923077
36,119,12,111,FL,St. Lucie County,74,130,8107,74,130,8107,36119,12111,109554.05405405405
36,119,12,081,FL,Manatee County,62,111,10965,62,111,10965,36119,12081,176854.83870967742
36,119,12,101,FL,Pasco County,62,108,8260,62,108,8260,36119,12101,133225.8064516129
36,119,12,109,FL,St. Johns County,60,133,10272,60,133,10272,36119,12109,171200.0
36,119,12,031,FL,Duval County,59,94,7001,59,94,7001,36119,12031,118661.01694915254
36,119,12,009,FL,Brevard County,56,98,5624,56,98,5624,36119,12009,100428.57142857143
36,119,12,127,FL,Volusia County,52,92,3761,52,92,3761,36119,12127,72326.92307692308
36,119,12,117,FL,Seminole County,44,87,4164,44,87,4164,36119,12117,94636.36363636363
36,119,12,061,FL,Indian River County,34,56,16660,34,56,16660,36119,12061,490000.0
36,119,12,069,FL,Lake County,33,69,2465,33,69,2465,36119,12069,74696.9696969697
36,119,12,035,FL,Flagler County,32,61,4957,32,61,4957,36119,12035,154906.25
36,119,12,083,FL,Marion County,30,49,2745,30,49,2745,36119,12083,91500.0
36,119,12,085,FL,Martin County,28,54,10975,28,54,10975,36119,12085,391964.28571428574
36,119,12,015,FL,Charlotte County,23,38,3689,23,38,3689,36119,12015,160391.30434782608
